2026-06-11 10:48:47.533194 | 2024-08-02 00:00:00-04:00 | close=217.97 | spread=7.82 | z_score=-0.84 | score=-0.0084
2026-06-11 10:48:47.533506 | 2024-08-05 00:00:00-04:00 | close=207.47 | spread=17.35 | z_score=-2.18 | score=-0.1458
2026-06-11 10:48:47.533780 | 2024-09-20 00:00:00-04:00 | close=226.50 | spread=5.43 | z_score=1.11 | score=-0.1571
2026-06-11 10:48:47.533984 | 2024-12-20 00:00:00-05:00 | close=252.87 | spread=9.25 | z_score=1.55 | score=-0.1137
2026-06-11 10:48:47.534157 | 2025-01-16 00:00:00-05:00 | close=226.81 | spread=9.92 | z_score=-2.02 | score=-0.0179
2026-06-11 10:48:47.534337 | 2025-01-21 00:00:00-05:00 | close=221.23 | spread=5.01 | z_score=-1.99 | score=-0.0204
2026-06-11 10:48:47.534471 | 2025-01-31 00:00:00-05:00 | close=234.50 | spread=13.66 | z_score=0.19 | score=-0.0923
2026-06-11 10:48:47.534608 | 2025-02-28 00:00:00-05:00 | close=240.57 | spread=11.83 | z_score=0.51 | score=-0.0195
2026-06-11 10:48:47.534792 | 2025-03-10 00:00:00-04:00 | close=226.28 | spread=11.88 | z_score=-2.01 | score=-0.0455
2026-06-11 10:48:47.535016 | 2025-03-11 00:00:00-04:00 | close=219.68 | spread=8.35 | z_score=-2.69 | score=-0.0450
2026-06-11 10:48:47.535220 | 2025-03-12 00:00:00-04:00 | close=215.84 | spread=6.80 | z_score=-2.57 | score=-0.0014
2026-06-11 10:48:47.535419 | 2025-03-13 00:00:00-04:00 | close=208.58 | spread=8.38 | z_score=-2.60 | score=-0.0196
2026-06-11 10:48:47.535564 | 2025-04-03 00:00:00-04:00 | close=202.12 | spread=6.21 | z_score=-2.13 | score=-0.0411
2026-06-11 10:48:47.535792 | 2025-04-04 00:00:00-04:00 | close=187.39 | spread=12.47 | z_score=-3.20 | score=-0.1858
2026-06-11 10:48:47.535960 | 2025-04-07 00:00:00-04:00 | close=180.51 | spread=19.43 | z_score=-2.87 | score=-0.2447
2026-06-11 10:48:47.536138 | 2025-04-08 00:00:00-04:00 | close=171.51 | spread=21.02 | z_score=-2.69 | score=-0.2288
2026-06-11 10:48:47.536295 | 2025-04-09 00:00:00-04:00 | close=197.80 | spread=28.57 | z_score=-0.81 | score=-0.2483
2026-06-11 10:48:47.536428 | 2025-04-10 00:00:00-04:00 | close=189.42 | spread=11.72 | z_score=-1.26 | score=-0.1111
2026-06-11 10:48:47.536634 | 2025-04-11 00:00:00-04:00 | close=197.11 | spread=13.41 | z_score=-0.70 | score=-0.0824
2026-06-11 10:48:47.536911 | 2025-04-14 00:00:00-04:00 | close=201.46 | spread=11.72 | z_score=-0.39 | score=-0.0608
2026-06-11 10:48:47.537202 | 2025-05-02 00:00:00-04:00 | close=204.27 | spread=4.80 | z_score=0.53 | score=-0.0083
2026-06-11 10:48:47.537328 | 2025-05-23 00:00:00-04:00 | close=194.50 | spread=4.22 | z_score=-1.59 | score=-0.0107
2026-06-11 10:48:47.537476 | 2025-06-20 00:00:00-04:00 | close=200.21 | spread=4.82 | z_score=0.39 | score=-0.0061
2026-06-11 10:48:47.537666 | 2025-06-30 00:00:00-04:00 | close=204.36 | spread=8.10 | z_score=1.79 | score=-0.0430
2026-06-11 10:48:47.538095 | 2025-07-01 00:00:00-04:00 | close=207.00 | spread=4.03 | z_score=2.30 | score=-0.0154
2026-06-11 10:48:47.538191 | 2025-07-02 00:00:00-04:00 | close=211.60 | spread=5.18 | z_score=2.82 | score=-0.0278
2026-06-11 10:48:47.538521 | 2025-07-31 00:00:00-04:00 | close=206.75 | spread=2.67 | z_score=-1.83 | score=-0.0236
2026-06-11 10:48:47.538990 | 2025-08-01 00:00:00-04:00 | close=201.58 | spread=12.03 | z_score=-2.98 | score=-0.1252
2026-06-11 10:48:47.540852 | 2025-08-06 00:00:00-04:00 | close=212.41 | spread=9.75 | z_score=0.79 | score=-0.0520
2026-06-11 10:48:47.541665 | 2025-08-07 00:00:00-04:00 | close=219.16 | spread=4.25 | z_score=2.16 | score=-0.0035
2026-06-11 10:48:47.542064 | 2025-08-08 00:00:00-04:00 | close=228.44 | spread=11.70 | z_score=2.95 | score=-0.1359
2026-06-11 10:48:47.542346 | 2025-09-19 00:00:00-04:00 | close=244.81 | spread=6.07 | z_score=2.16 | score=-0.0964
2026-06-11 10:48:47.542705 | 2025-09-22 00:00:00-04:00 | close=255.36 | spread=8.50 | z_score=2.96 | score=-0.0885
2026-06-11 10:48:47.543050 | 2025-10-10 00:00:00-04:00 | close=244.58 | spread=12.35 | z_score=-0.77 | score=-0.0281
2026-06-11 10:48:47.543262 | 2025-10-20 00:00:00-04:00 | close=261.50 | spread=8.73 | z_score=1.93 | score=-0.0132
2026-06-11 10:48:47.543382 | 2025-10-31 00:00:00-04:00 | close=269.61 | spread=8.14 | z_score=1.39 | score=-0.0017
2026-06-11 10:48:47.543475 | 2025-11-28 00:00:00-05:00 | close=278.33 | spread=3.00 | z_score=1.97 | score=-0.0079
2026-06-11 10:48:47.543656 | 2025-12-01 00:00:00-05:00 | close=282.58 | spread=7.27 | z_score=2.42 | score=-0.0071
2026-06-11 10:48:47.543881 | 2025-12-19 00:00:00-05:00 | close=273.16 | spread=4.69 | z_score=-0.97 | score=-0.0849
2026-06-11 10:48:47.544114 | 2025-12-30 00:00:00-05:00 | close=272.57 | spread=1.80 | z_score=-0.75 | score=-0.0075
